Location,Description,Unit,Quantity,Unit Cost,Suggested Price,Total Value
THS - Gmall Davao,NAMICA SAMBONG TEA 20'S,BOX,2.00,50.00,120.00,100
THS - Gmall Davao,NAMICA SAMBONG TEA 20'S PC,PC,0.00,2.50,7.00,0
THS - Gmall Davao,BANABA PHIL. HERBAL TEA 20'S,BOX,3.00,50.00,120.00,150
THS - Gmall Davao,BANABA PHIL. HERBAL TEA 20'S PC,PC,0.00,2.50,7.00,0
THS - Gmall Davao,NATURE'S GIFT VIRGIN COCONUT OIL 330ML,BOT,0.00,125.00,215.00,0
THS - Gmall Davao,NATURE'S GIFT VIRGIN COCONUT OIL 1000ML,BOT,0.00,270.00,495.00,0
THS - Gmall Davao,SUPER B COMPLEX 460'S,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,SUPER B COMPLEX 460'S PC,PC,0.00,2.80,8.00,0
THS - Gmall Davao,MAGNESSIUM 400MG 180s,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,MAGNESSIUM 400MG 180s PC,PC,158.00,6.83,15.00,1079.14
THS - Gmall Davao,MAGNESSIUM CITRATE 250MG 180'S,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,MAGNESSIUM CITRATE 250MG 180'S PC,PC,0.00,8.33,18.00,0
THS - Gmall Davao,FISH OIL 1200MG 200's,BOT,0.00,650.00,1.00,0
THS - Gmall Davao,FISH OIL 1200MG 200's PC,PC,0.00,3.25,10.00,0
THS - Gmall Davao,FISH OIL 1200MG 300's,BOT,2.00,1.00,2.00,2
THS - Gmall Davao,FISH OIL 1200MG 300's PC,PC,298.00,4.44,12.00,1323.1200000000001
THS - Gmall Davao,VITAMIN D3 1000IU 25MCG 650'S,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,VITAMIN D3 1000IU 25MCG 650'S PC,PC,0.00,1.88,5.00,0
THS - Gmall Davao,SUPER C W/ VITAMIN D3 & ZINC 200'S,BOT,0.00,1.00,2.00,0
